CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Salary,City,CIBIL,Risk
less_0,8,all_credits_paid_back,car_new,250,less_100,unemployed,2,male,none,2,savings_insurance,23,none,rent,1,skilled,1,none,yes,5976,Metro,820,No Risk
less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,5203,Metro,803,No Risk
no_checking,41,outstanding_credit,radio_tv,6474,unknown,greater_7,4,male,co-applicant,4,unknown,53,none,own,2,skilled,2,yes,yes,4985,Non-Metro,707,Risk
no_checking,42,outstanding_credit,appliances,3437,unknown,greater_7,5,male,none,3,unknown,38,none,own,2,skilled,1,yes,yes,7698,Metro,823,No Risk
no_checking,36,prior_payments_delayed,appliances,8614,500_to_1000,1_to_4,4,male,co-applicant,3,car_other,38,none,own,2,management_self-employed,1,none,yes,5262,Metro,827,No Risk
0_to_200,4,prior_payments_delayed,car_new,1216,500_to_1000,4_to_7,2,male,none,3,savings_insurance,22,none,rent,1,skilled,1,none,yes,5295,Metro,884,No Risk
0_to_200,31,outstanding_credit,appliances,3201,100_to_500,greater_7,4,male,none,3,savings_insurance,35,none,own,1,skilled,1,none,yes,6494,Metro,882,No Risk
no_checking,25,outstanding_credit,furniture,2160,unknown,greater_7,4,male,none,5,car_other,32,none,own,1,skilled,1,yes,yes,7781,Metro,826,No Risk
no_checking,35,prior_payments_delayed,appliances,5070,500_to_1000,1_to_4,4,male,none,3,unknown,42,none,own,1,skilled,1,yes,yes,4107,Metro,896,No Risk
no_checking,21,outstanding_credit,radio_tv,6363,500_to_1000,1_to_4,3,male,none,3,savings_insurance,42,none,own,1,management_self-employed,1,yes,yes,4539,Metro,824,No Risk
no_checking,31,credits_paid_to_date,furniture,5205,100_to_500,1_to_4,3,male,none,2,car_other,38,none,own,2,skilled,1,yes,yes,6616,Metro,714,No Risk
no_checking,14,outstanding_credit,radio_tv,1582,greater_1000,less_1,2,male,none,3,savings_insurance,34,none,own,1,skilled,1,none,yes,3627,Metro,853,No Risk
no_checking,27,outstanding_credit,business,6794,unknown,4_to_7,3,male,none,3,car_other,44,none,own,2,management_self-employed,2,yes,yes,3825,Metro,738,No Risk
less_0,4,all_credits_paid_back,radio_tv,250,less_100,less_1,1,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,5663,Non-Metro,878,No Risk
no_checking,31,outstanding_credit,appliances,8968,unknown,4_to_7,5,male,co-applicant,4,unknown,53,none,free,2,management_self-employed,2,yes,yes,4823,Metro,713,No Risk
no_checking,19,credits_paid_to_date,furniture,1166,greater_1000,4_to_7,2,male,none,3,real_estate,33,stores,own,1,unskilled,1,yes,yes,3706,Non-Metro,807,No Risk
no_checking,31,outstanding_credit,repairs,6460,500_to_1000,4_to_7,5,male,none,3,unknown,47,none,free,2,skilled,1,yes,yes,3004,Non-Metro,715,Risk
no_checking,31,outstanding_credit,repairs,6818,greater_1000,greater_7,5,male,co-applicant,4,car_other,41,none,free,3,skilled,2,yes,yes,3149,Metro,704,Risk
less_0,11,all_credits_paid_back,car_new,996,less_100,1_to_4,2,female,none,2,real_estate,32,bank,rent,1,unemployed,1,none,yes,6235,Metro,846,No Risk
no_checking,9,prior_payments_delayed,car_new,4316,100_to_500,less_1,3,female,none,3,savings_insurance,33,none,own,1,management_self-employed,1,none,yes,3099,Non-Metro,738,Risk
no_checking,43,prior_payments_delayed,furniture,5267,unknown,4_to_7,4,female,none,4,car_other,51,none,own,3,skilled,1,yes,yes,3109,Non-Metro,724,Risk
no_checking,23,outstanding_credit,appliances,7682,500_to_1000,1_to_4,3,male,none,4,car_other,41,stores,own,1,unskilled,1,yes,yes,3938,Non-Metro,852,Risk
no_checking,42,prior_payments_delayed,furniture,5057,unknown,greater_7,4,female,co-applicant,4,savings_insurance,53,none,own,2,skilled,1,none,yes,3365,Metro,860,No Risk
no_checking,30,outstanding_credit,appliances,2338,greater_1000,4_to_7,4,male,none,4,savings_insurance,39,none,free,1,skilled,1,none,yes,7618,Metro,878,No Risk
no_checking,28,prior_payments_delayed,furniture,4524,100_to_500,4_to_7,3,male,none,2,savings_insurance,49,bank,rent,2,unskilled,2,yes,yes,7236,Metro,803,No Risk
0_to_200,11,credits_paid_to_date,car_new,2306,less_100,less_1,2,female,none,1,savings_insurance,25,none,own,1,skilled,1,none,yes,5440,Non-Metro,867,No Risk
greater_200,35,prior_payments_delayed,car_used,4625,greater_1000,4_to_7,4,male,none,4,savings_insurance,43,none,own,2,skilled,1,none,yes,3550,Non-Metro,708,Risk
no_checking,8,credits_paid_to_date,furniture,3147,less_100,unemployed,1,female,none,3,savings_insurance,28,none,rent,1,management_self-employed,2,none,yes,7148,Metro,863,No Risk
no_checking,31,outstanding_credit,appliances,7665,unknown,greater_7,4,male,co-applicant,4,unknown,54,none,free,3,skilled,2,yes,no,3668,Non-Metro,724,Risk
no_checking,8,prior_payments_delayed,car_used,6282,greater_1000,greater_7,4,male,none,4,car_other,43,none,own,2,skilled,1,none,yes,6508,Metro,813,No Risk
greater_200,24,credits_paid_to_date,car_used,3496,100_to_500,4_to_7,3,female,none,3,savings_insurance,41,none,own,2,skilled,1,none,yes,3936,Metro,892,No Risk
less_0,4,all_credits_paid_back,radio_tv,250,less_100,1_to_4,2,male,none,2,real_estate,22,none,own,1,skilled,1,none,yes,7882,Metro,743,No Risk
less_0,36,credits_paid_to_date,car_used,3787,greater_1000,greater_7,4,female,none,4,car_other,38,none,free,2,skilled,1,yes,yes,3207,Non-Metro,745,Risk
no_checking,9,prior_payments_delayed,radio_tv,6203,100_to_500,4_to_7,4,female,none,4,savings_insurance,39,stores,own,2,unskilled,2,yes,yes,5581,Non-Metro,825,No Risk
less_0,19,credits_paid_to_date,radio_tv,723,500_to_1000,1_to_4,3,male,none,2,car_other,34,none,own,1,skilled,1,none,yes,7170,Metro,802,No Risk
no_checking,26,outstanding_credit,furniture,3091,500_to_1000,4_to_7,4,male,none,4,car_other,31,none,own,1,management_self-employed,1,none,yes,7987,Metro,892,No Risk
no_checking,35,credits_paid_to_date,appliances,6651,100_to_500,1_to_4,4,female,none,4,savings_insurance,40,none,own,1,skilled,1,none,yes,4234,Non-Metro,736,Risk
no_checking,28,prior_payments_delayed,business,3589,100_to_500,greater_7,4,female,none,3,unknown,45,bank,free,1,unemployed,1,yes,yes,7754,Metro,809,No Risk
0_to_200,17,credits_paid_to_date,car_used,1718,less_100,1_to_4,1,female,none,3,real_estate,27,stores,own,1,skilled,1,none,yes,6927,Non-Metro,884,No Risk
no_checking,18,credits_paid_to_date,radio_tv,2405,100_to_500,4_to_7,4,female,none,2,savings_insurance,46,none,own,1,skilled,1,none,yes,6788,Non-Metro,717,Risk
less_0,15,credits_paid_to_date,vacation,4273,less_100,less_1,3,female,none,2,savings_insurance,29,none,own,1,skilled,1,none,yes,6224,Metro,831,No Risk
no_checking,17,outstanding_credit,education,2042,500_to_1000,4_to_7,3,female,guarantor,3,unknown,53,none,free,1,skilled,1,yes,yes,3939,Non-Metro,716,Risk
0_to_200,23,credits_paid_to_date,car_used,1964,less_100,1_to_4,3,male,none,3,savings_insurance,36,none,own,1,skilled,1,none,yes,6316,Metro,814,No Risk
no_checking,16,credits_paid_to_date,radio_tv,2522,100_to_500,1_to_4,3,male,none,4,savings_insurance,35,none,rent,1,management_self-employed,2,none,yes,4397,Non-Metro,708,Risk
no_checking,38,prior_payments_delayed,other,5877,500_to_1000,4_to_7,5,male,none,3,savings_insurance,38,none,own,1,management_self-employed,1,none,yes,6734,Metro,822,No Risk
0_to_200,14,all_credits_paid_back,furniture,250,500_to_1000,1_to_4,3,female,none,2,savings_insurance,28,bank,rent,1,unemployed,1,none,yes,3463,Metro,839,No Risk
less_0,9,all_credits_paid_back,car_new,3917,less_100,less_1,1,male,none,3,car_other,29,none,own,1,skilled,1,none,yes,6235,Metro,895,No Risk
greater_200,17,outstanding_credit,radio_tv,6172,100_to_500,1_to_4,3,female,none,2,car_other,38,none,free,2,skilled,1,none,yes,5465,Non-Metro,720,Risk
no_checking,34,outstanding_credit,repairs,8281,greater_1000,greater_7,5,male,co-applicant,3,unknown,56,none,own,2,skilled,2,yes,yes,4329,Non-Metro,730,Risk
less_0,22,credits_paid_to_date,retraining,2892,less_100,1_to_4,2,male,none,3,car_other,25,none,own,1,skilled,1,yes,yes,6800,Metro,887,No Risk
no_checking,30,outstanding_credit,furniture,5776,500_to_1000,4_to_7,3,female,guarantor,4,unknown,70,stores,free,2,unskilled,1,yes,yes,6332,Non-Metro,706,Risk
no_checking,29,prior_payments_delayed,education,2579,unknown,4_to_7,2,female,none,3,car_other,52,none,own,2,skilled,1,yes,yes,4842,Metro,700,Risk
no_checking,28,prior_payments_delayed,car_used,4523,100_to_500,1_to_4,3,male,none,4,savings_insurance,37,stores,own,2,unskilled,1,yes,yes,4620,Non-Metro,704,Risk
no_checking,21,prior_payments_delayed,radio_tv,5852,unknown,1_to_4,4,female,co-applicant,4,savings_insurance,41,bank,own,2,unemployed,1,yes,yes,4990,Non-Metro,747,Risk
greater_200,31,outstanding_credit,appliances,4295,500_to_1000,4_to_7,4,female,co-applicant,5,car_other,45,none,free,2,management_self-employed,1,yes,yes,3393,Non-Metro,700,Risk
less_0,18,credits_paid_to_date,car_new,250,less_100,unemployed,1,female,none,1,real_estate,19,stores,own,1,skilled,1,none,yes,5795,Metro,893,No Risk
0_to_200,25,prior_payments_delayed,radio_tv,4901,less_100,greater_7,4,female,none,2,savings_insurance,42,none,own,1,skilled,1,none,yes,5359,Metro,733,No Risk
less_0,13,all_credits_paid_back,car_new,250,500_to_1000,1_to_4,2,female,none,3,savings_insurance,22,stores,own,1,skilled,1,none,yes,6434,Metro,820,No Risk
0_to_200,17,credits_paid_to_date,car_used,1445,less_100,less_1,2,female,none,1,savings_insurance,41,none,rent,1,skilled,1,none,yes,3580,Metro,718,No Risk
less_0,18,credits_paid_to_date,retraining,2160,less_100,less_1,2,female,none,2,savings_insurance,20,none,own,1,skilled,1,none,yes,7259,Metro,808,No Risk
no_checking,27,outstanding_credit,furniture,7261,500_to_1000,greater_7,5,male,guarantor,5,car_other,65,stores,own,2,unskilled,1,yes,no,3841,Non-Metro,733,Risk
0_to_200,8,prior_payments_delayed,car_used,3473,500_to_1000,less_1,3,male,none,2,car_other,35,none,own,2,skilled,1,yes,yes,7419,Metro,839,No Risk
no_checking,38,prior_payments_delayed,other,8238,500_to_1000,4_to_7,4,male,none,3,car_other,42,none,own,1,management_self-employed,2,none,yes,3922,Non-Metro,705,Risk
less_0,12,prior_payments_delayed,car_new,250,greater_1000,4_to_7,2,male,none,1,real_estate,23,stores,rent,1,skilled,1,none,yes,6514,Metro,800,No Risk
less_0,17,credits_paid_to_date,car_new,2527,less_100,4_to_7,3,male,none,2,car_other,37,none,own,1,skilled,1,none,yes,5669,Non-Metro,848,No Risk
no_checking,28,prior_payments_delayed,radio_tv,8318,greater_1000,1_to_4,4,male,none,4,unknown,47,none,own,2,management_self-employed,2,yes,yes,7600,Non-Metro,866,No Risk
0_to_200,28,credits_paid_to_date,car_used,2901,500_to_1000,1_to_4,2,male,guarantor,4,car_other,44,stores,own,1,skilled,1,yes,yes,5255,Metro,833,No Risk
no_checking,35,prior_payments_delayed,radio_tv,3714,500_to_1000,4_to_7,4,female,none,4,unknown,41,bank,own,2,unemployed,1,yes,yes,3513,Non-Metro,717,Risk
less_0,22,credits_paid_to_date,car_new,3410,less_100,less_1,2,female,none,2,real_estate,22,bank,rent,1,unemployed,1,none,yes,5074,Metro,828,No Risk
0_to_200,9,prior_payments_delayed,furniture,960,100_to_500,less_1,3,male,none,2,real_estate,27,none,own,1,management_self-employed,1,none,yes,4704,Metro,888,No Risk
less_0,16,credits_paid_to_date,car_used,993,less_100,4_to_7,1,female,none,1,real_estate,25,stores,own,1,skilled,1,none,yes,6527,Metro,803,No Risk
greater_200,42,outstanding_credit,repairs,5765,unknown,greater_7,3,male,none,3,car_other,53,stores,own,2,skilled,1,none,yes,6261,Metro,887,No Risk
no_checking,41,prior_payments_delayed,vacation,5887,500_to_1000,greater_7,4,male,none,4,unknown,47,none,free,2,skilled,1,yes,yes,3038,Non-Metro,722,Risk
0_to_200,21,outstanding_credit,radio_tv,3364,100_to_500,1_to_4,2,female,none,1,savings_insurance,44,stores,rent,2,skilled,2,yes,yes,7958,Metro,888,No Risk
no_checking,27,outstanding_credit,radio_tv,4754,unknown,greater_7,4,male,none,4,savings_insurance,55,none,own,2,management_self-employed,2,yes,yes,4366,Metro,705,No Risk
0_to_200,24,credits_paid_to_date,radio_tv,4493,less_100,less_1,2,male,none,3,car_other,27,bank,own,1,unskilled,1,yes,yes,6704,Non-Metro,867,No Risk
less_0,17,prior_payments_delayed,radio_tv,1721,100_to_500,1_to_4,3,male,none,3,car_other,29,bank,rent,2,unskilled,1,yes,yes,6275,Metro,703,No Risk
less_0,4,credits_paid_to_date,car_new,250,less_100,unemployed,1,male,none,2,savings_insurance,20,stores,own,1,skilled,1,none,yes,5988,Non-Metro,899,No Risk
0_to_200,19,prior_payments_delayed,radio_tv,3397,100_to_500,1_to_4,3,female,none,2,unknown,36,stores,own,2,unskilled,1,none,yes,3810,Non-Metro,721,Risk
no_checking,26,outstanding_credit,other,6324,500_to_1000,greater_7,4,male,none,4,unknown,52,none,free,2,management_self-employed,1,yes,yes,3056,Non-Metro,741,Risk
0_to_200,25,credits_paid_to_date,car_new,3027,less_100,1_to_4,3,male,none,2,savings_insurance,31,none,own,1,skilled,2,yes,yes,6596,Metro,839,No Risk
no_checking,31,prior_payments_delayed,car_used,5787,100_to_500,1_to_4,3,female,none,3,savings_insurance,36,none,own,1,skilled,1,yes,yes,6824,Non-Metro,833,No Risk
no_checking,33,prior_payments_delayed,appliances,5866,500_to_1000,4_to_7,4,female,none,4,car_other,41,none,free,3,skilled,2,yes,yes,4405,Non-Metro,885,Risk
less_0,4,all_credits_paid_back,car_new,842,less_100,unemployed,1,female,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,7172,Non-Metro,809,No Risk
no_checking,29,prior_payments_delayed,car_used,6676,100_to_500,4_to_7,4,male,none,4,car_other,71,none,free,3,management_self-employed,2,yes,yes,3485,Non-Metro,739,Risk
no_checking,17,credits_paid_to_date,furniture,1557,100_to_500,1_to_4,3,male,none,3,real_estate,32,none,rent,1,management_self-employed,1,none,yes,7149,Metro,820,No Risk
0_to_200,14,prior_payments_delayed,radio_tv,4067,greater_1000,4_to_7,3,male,none,3,car_other,36,none,rent,2,management_self-employed,1,none,yes,5224,Metro,867,No Risk
less_0,17,credits_paid_to_date,furniture,250,100_to_500,1_to_4,2,male,none,1,real_estate,29,none,rent,1,skilled,1,none,yes,5498,Metro,800,No Risk
less_0,10,all_credits_paid_back,vacation,2380,less_100,less_1,2,female,none,2,savings_insurance,28,none,rent,1,skilled,1,none,yes,7718,Non-Metro,830,No Risk
no_checking,24,prior_payments_delayed,furniture,1507,greater_1000,1_to_4,3,female,none,4,real_estate,23,none,own,1,skilled,1,none,yes,7572,Metro,883,No Risk
less_0,15,credits_paid_to_date,vacation,1103,less_100,less_1,2,female,none,2,real_estate,24,none,rent,1,skilled,1,none,yes,5702,Metro,898,No Risk
greater_200,6,credits_paid_to_date,car_new,3553,less_100,1_to_4,3,male,none,4,savings_insurance,26,none,own,1,management_self-employed,1,none,yes,4268,Non-Metro,818,No Risk
0_to_200,20,prior_payments_delayed,car_used,2276,100_to_500,1_to_4,2,male,none,3,savings_insurance,36,none,own,2,skilled,1,yes,yes,5490,Non-Metro,749,No Risk
no_checking,25,prior_payments_delayed,car_used,4803,100_to_500,greater_7,4,male,none,4,car_other,47,none,own,2,skilled,1,yes,yes,3274,Non-Metro,738,Risk
0_to_200,15,credits_paid_to_date,car_new,1801,less_100,less_1,3,male,co-applicant,4,savings_insurance,34,none,own,1,skilled,1,yes,yes,3570,Metro,823,Risk
less_0,35,all_credits_paid_back,radio_tv,250,less_100,1_to_4,3,female,none,1,savings_insurance,32,stores,own,1,skilled,1,none,yes,7502,Metro,867,No Risk
0_to_200,14,prior_payments_delayed,furniture,3240,greater_1000,greater_7,3,male,co-applicant,4,car_other,42,none,free,2,skilled,1,yes,yes,3894,Non-Metro,715,Risk
less_0,4,credits_paid_to_date,education,523,less_100,unemployed,2,male,none,1,savings_insurance,19,bank,rent,1,unskilled,1,none,yes,5888,Metro,873,No Risk
less_0,13,all_credits_paid_back,car_used,250,less_100,less_1,2,male,none,2,real_estate,27,none,rent,1,skilled,1,none,yes,5280,Metro,748,No Risk
no_checking,9,credits_paid_to_date,vacation,1065,less_100,1_to_4,3,male,none,3,real_estate,38,none,rent,1,management_self-employed,1,none,yes,5255,Metro,884,No Risk
greater_200,23,credits_paid_to_date,radio_tv,2976,100_to_500,4_to_7,4,female,none,4,car_other,49,none,own,1,skilled,1,yes,yes,4406,Non-Metro,722,Risk
0_to_200,10,credits_paid_to_date,car_new,250,less_100,1_to_4,2,female,none,1,real_estate,31,none,own,1,skilled,1,none,yes,5525,Metro,860,No Risk
less_0,20,credits_paid_to_date,car_new,3786,less_100,less_1,3,male,co-applicant,3,real_estate,35,none,own,2,skilled,1,none,yes,5375,Metro,722,No Risk
less_0,16,credits_paid_to_date,car_new,250,less_100,4_to_7,3,female,none,1,savings_insurance,19,bank,rent,1,unemployed,1,none,yes,6134,Metro,738,No Risk
0_to_200,15,no_credits,car_new,5143,less_100,less_1,2,female,none,2,real_estate,26,bank,own,1,unskilled,1,none,yes,6456,Metro,891,No Risk
0_to_200,4,credits_paid_to_date,radio_tv,4539,100_to_500,1_to_4,3,female,none,3,savings_insurance,37,none,own,1,management_self-employed,1,none,no,5783,Non-Metro,809,No Risk
no_checking,29,outstanding_credit,appliances,5018,500_to_1000,1_to_4,3,male,none,4,car_other,67,stores,own,2,unskilled,2,yes,yes,5671,Metro,840,No Risk
less_0,4,all_credits_paid_back,furniture,1782,less_100,less_1,1,female,none,1,savings_insurance,33,none,rent,1,skilled,1,none,yes,7118,Metro,725,No Risk
no_checking,27,outstanding_credit,appliances,6304,500_to_1000,greater_7,5,male,co-applicant,5,unknown,54,none,free,3,management_self-employed,2,yes,yes,3526,Non-Metro,741,Risk
less_0,4,all_credits_paid_back,car_new,250,less_100,less_1,1,male,none,2,real_estate,21,none,rent,1,skilled,1,none,yes,7891,Metro,709,No Risk
less_0,15,credits_paid_to_date,furniture,250,less_100,less_1,2,female,none,2,savings_insurance,27,none,own,1,skilled,1,yes,yes,4909,Non-Metro,738,Risk
less_0,22,prior_payments_delayed,radio_tv,250,less_100,1_to_4,1,male,none,2,real_estate,20,stores,rent,1,unskilled,1,none,yes,7442,Metro,718,No Risk
no_checking,30,prior_payments_delayed,radio_tv,7031,500_to_1000,4_to_7,4,male,none,3,car_other,45,stores,own,2,unskilled,2,yes,yes,3028,Metro,843,No Risk
0_to_200,5,prior_payments_delayed,car_new,250,less_100,4_to_7,3,male,none,2,real_estate,24,none,own,1,skilled,1,none,yes,5780,Metro,812,No Risk
no_checking,34,prior_payments_delayed,business,7554,100_to_500,greater_7,5,female,none,5,unknown,43,none,own,2,management_self-employed,1,none,yes,5022,Non-Metro,749,Risk
no_checking,31,prior_payments_delayed,radio_tv,7098,100_to_500,4_to_7,4,male,none,5,unknown,30,stores,own,1,skilled,1,yes,yes,4954,Non-Metro,852,Risk
0_to_200,14,prior_payments_delayed,car_new,2531,100_to_500,4_to_7,3,female,none,1,car_other,44,bank,own,2,unemployed,2,yes,yes,6183,Metro,816,No Risk
no_checking,12,credits_paid_to_date,car_used,4315,less_100,1_to_4,4,male,none,2,car_other,45,none,own,1,management_self-employed,1,none,yes,5433,Metro,845,No Risk
no_checking,28,prior_payments_delayed,radio_tv,6029,100_to_500,1_to_4,3,female,none,4,car_other,44,none,own,1,skilled,1,yes,yes,6132,Metro,740,No Risk
less_0,4,all_credits_paid_back,education,426,100_to_500,less_1,2,male,none,1,real_estate,30,none,own,1,skilled,1,none,yes,7771,Non-Metro,833,No Risk
no_checking,35,outstanding_credit,repairs,7687,500_to_1000,greater_7,4,male,co-applicant,5,unknown,49,none,free,2,skilled,1,yes,yes,3803,Non-Metro,867,Risk
no_checking,27,outstanding_credit,radio_tv,8284,500_to_1000,4_to_7,5,male,co-applicant,4,unknown,54,none,free,2,skilled,2,yes,yes,4379,Non-Metro,726,Risk
less_0,14,prior_payments_delayed,radio_tv,2243,less_100,1_to_4,2,male,none,2,car_other,46,none,own,2,skilled,2,yes,yes,4544,Metro,864,Risk
no_checking,18,credits_paid_to_date,furniture,1070,100_to_500,4_to_7,3,female,none,4,car_other,38,none,own,1,skilled,1,yes,yes,4289,Non-Metro,720,Risk
less_0,15,prior_payments_delayed,car_used,1843,less_100,less_1,2,male,none,2,real_estate,33,none,own,2,skilled,2,none,yes,3136,Non-Metro,720,Risk
greater_200,20,credits_paid_to_date,radio_tv,3316,less_100,unemployed,2,male,none,3,savings_insurance,27,none,rent,1,skilled,1,none,yes,4546,Non-Metro,727,Risk
no_checking,36,prior_payments_delayed,other,5835,500_to_1000,greater_7,4,male,co-applicant,4,unknown,54,none,free,3,skilled,2,yes,yes,3178,Non-Metro,737,Risk
0_to_200,4,credits_paid_to_date,car_new,1605,less_100,4_to_7,2,male,none,1,real_estate,39,none,own,1,skilled,1,none,yes,7929,Metro,746,No Risk
greater_200,20,outstanding_credit,radio_tv,4351,unknown,1_to_4,4,male,none,3,savings_insurance,37,none,free,2,skilled,1,yes,yes,7660,Non-Metro,841,No Risk
less_0,10,prior_payments_delayed,furniture,250,500_to_1000,4_to_7,3,female,none,1,car_other,30,stores,own,1,skilled,1,none,yes,7035,Non-Metro,852,No Risk
0_to_200,14,credits_paid_to_date,furniture,2410,less_100,less_1,2,male,none,2,car_other,39,stores,own,1,skilled,1,none,yes,7039,Metro,822,No Risk
no_checking,43,credits_paid_to_date,furniture,2668,500_to_1000,4_to_7,3,male,none,2,car_other,39,stores,own,2,unskilled,1,yes,yes,5672,Non-Metro,805,No Risk
no_checking,46,outstanding_credit,radio_tv,6509,greater_1000,greater_7,4,male,guarantor,5,car_other,62,none,free,2,skilled,2,yes,yes,4568,Non-Metro,742,Risk
greater_200,30,prior_payments_delayed,education,3690,500_to_1000,greater_7,3,female,none,3,savings_insurance,37,stores,free,2,skilled,1,none,yes,3942,Non-Metro,898,Risk
less_0,24,credits_paid_to_date,retraining,1982,less_100,less_1,2,female,none,3,real_estate,31,none,own,1,skilled,1,none,yes,5594,Metro,877,No Risk
greater_200,20,credits_paid_to_date,radio_tv,576,100_to_500,4_to_7,3,male,none,2,savings_insurance,29,none,own,1,skilled,1,none,yes,3683,Metro,801,Risk
less_0,27,credits_paid_to_date,furniture,1459,less_100,4_to_7,3,male,none,2,car_other,41,stores,own,2,unskilled,1,yes,yes,5524,Metro,715,No Risk
less_0,9,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,2,real_estate,24,none,rent,1,skilled,1,none,yes,7311,Non-Metro,704,No Risk
less_0,12,prior_payments_delayed,car_new,973,less_100,1_to_4,1,female,none,2,car_other,30,stores,own,1,skilled,1,none,yes,4010,Non-Metro,711,Risk
less_0,14,prior_payments_delayed,furniture,250,500_to_1000,1_to_4,3,male,none,1,savings_insurance,24,none,own,1,skilled,1,yes,yes,7896,Non-Metro,722,No Risk
less_0,8,prior_payments_delayed,furniture,636,less_100,less_1,1,female,none,1,savings_insurance,31,stores,own,2,skilled,1,yes,yes,6645,Metro,821,No Risk
0_to_200,22,credits_paid_to_date,radio_tv,250,100_to_500,4_to_7,2,female,none,2,car_other,48,stores,own,2,skilled,1,none,yes,7177,Non-Metro,813,No Risk
less_0,8,all_credits_paid_back,car_new,250,100_to_500,less_1,1,male,none,2,real_estate,27,stores,rent,1,unskilled,1,none,yes,3796,Non-Metro,802,No Risk
no_checking,15,outstanding_credit,car_used,4212,100_to_500,4_to_7,4,male,none,3,car_other,38,none,own,1,management_self-employed,1,yes,yes,5280,Non-Metro,889,No Risk
no_checking,44,prior_payments_delayed,repairs,10792,500_to_1000,4_to_7,5,male,co-applicant,5,unknown,51,none,free,2,management_self-employed,2,yes,yes,3176,Non-Metro,704,Risk
no_checking,20,credits_paid_to_date,education,5697,greater_1000,4_to_7,4,female,none,4,savings_insurance,45,none,own,3,skilled,2,yes,yes,5581,Metro,741,No Risk
less_0,18,prior_payments_delayed,furniture,1079,less_100,less_1,1,female,none,2,real_estate,35,stores,own,2,skilled,2,yes,yes,6694,Metro,804,No Risk
no_checking,19,credits_paid_to_date,radio_tv,1426,less_100,less_1,1,female,none,3,real_estate,22,none,own,1,skilled,1,none,yes,6562,Non-Metro,823,No Risk
0_to_200,36,outstanding_credit,appliances,3998,500_to_1000,greater_7,4,male,none,4,car_other,36,none,own,2,skilled,1,none,yes,7598,Non-Metro,731,No Risk
0_to_200,5,all_credits_paid_back,car_new,250,100_to_500,less_1,2,male,none,2,real_estate,20,none,rent,1,skilled,1,none,yes,7011,Metro,833,No Risk
0_to_200,38,outstanding_credit,other,6830,greater_1000,greater_7,4,male,none,3,car_other,33,none,own,2,skilled,2,yes,yes,5453,Metro,722,No Risk
0_to_200,18,all_credits_paid_back,vacation,1849,100_to_500,1_to_4,2,female,none,1,car_other,19,stores,rent,1,unskilled,1,none,yes,5228,Metro,879,No Risk
no_checking,53,outstanding_credit,radio_tv,9963,greater_1000,4_to_7,4,male,guarantor,3,unknown,55,none,own,2,skilled,1,yes,yes,3799,Non-Metro,712,Risk
no_checking,30,outstanding_credit,other,5206,greater_1000,greater_7,5,female,none,3,unknown,35,none,own,1,skilled,1,none,yes,3947,Metro,718,Risk
less_0,12,all_credits_paid_back,car_new,250,less_100,1_to_4,1,female,none,1,real_estate,19,stores,rent,1,skilled,1,none,yes,5974,Metro,896,No Risk
no_checking,8,prior_payments_delayed,car_new,3777,100_to_500,1_to_4,3,male,none,4,savings_insurance,50,none,own,1,management_self-employed,1,none,yes,7975,Metro,806,No Risk
0_to_200,16,credits_paid_to_date,furniture,2112,less_100,less_1,3,female,none,3,savings_insurance,34,none,own,2,skilled,1,none,yes,4288,Metro,869,No Risk
less_0,10,all_credits_paid_back,car_new,250,500_to_1000,less_1,2,female,none,3,savings_insurance,24,none,rent,1,skilled,1,none,yes,7282,Metro,865,No Risk
no_checking,35,outstanding_credit,repairs,7157,500_to_1000,greater_7,4,male,co-applicant,5,unknown,47,none,free,2,skilled,1,yes,yes,3441,Metro,740,Risk
no_checking,28,outstanding_credit,appliances,4053,unknown,greater_7,5,male,none,3,unknown,45,none,own,2,skilled,1,none,yes,3003,Non-Metro,733,Risk
less_0,23,credits_paid_to_date,retraining,2480,less_100,4_to_7,3,male,none,3,savings_insurance,28,none,own,2,skilled,1,none,yes,4662,Non-Metro,745,Risk
no_checking,32,outstanding_credit,furniture,4947,500_to_1000,greater_7,3,male,co-applicant,4,unknown,33,bank,own,1,unskilled,1,yes,yes,4243,Non-Metro,725,Risk
no_checking,32,outstanding_credit,repairs,5613,500_to_1000,greater_7,5,male,co-applicant,5,car_other,44,none,free,2,management_self-employed,1,yes,yes,4367,Non-Metro,738,Risk
less_0,4,no_credits,repairs,250,less_100,unemployed,1,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,6179,Non-Metro,842,No Risk
less_0,38,outstanding_credit,repairs,2881,100_to_500,1_to_4,3,male,none,3,car_other,29,none,rent,1,skilled,1,none,yes,4544,Non-Metro,715,Risk
