CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk,Salary,City,CIBIL
0_to_200,17,prior_payments_delayed,car_used,3498,less_100,4_to_7,2,male,co-applicant,1,savings_insurance,38,none,own,2,skilled,1,yes,yes,No Risk,6841,Metro,727
no_checking,45,prior_payments_delayed,radio_tv,6335,500_to_1000,1_to_4,4,male,none,3,car_other,31,none,own,1,skilled,1,none,yes,No Risk,5635,Non-Metro,810
no_checking,40,outstanding_credit,repairs,6446,unknown,greater_7,5,male,co-applicant,5,car_other,47,stores,own,2,unskilled,2,yes,yes,Risk,4077,Metro,827
no_checking,32,prior_payments_delayed,furniture,1957,unknown,less_1,2,male,none,3,real_estate,33,none,own,1,skilled,1,none,yes,No Risk,3169,Non-Metro,842
less_0,19,credits_paid_to_date,retraining,3612,100_to_500,less_1,1,male,none,1,car_other,30,stores,own,2,skilled,1,yes,yes,No Risk,4164,Metro,886
less_0,4,credits_paid_to_date,car_used,250,less_100,4_to_7,1,female,none,1,savings_insurance,23,stores,own,1,skilled,1,none,yes,No Risk,4062,Non-Metro,728
no_checking,30,outstanding_credit,business,6778,500_to_1000,4_to_7,4,male,none,2,savings_insurance,41,none,own,1,skilled,1,yes,yes,No Risk,4693,Metro,884
0_to_200,14,credits_paid_to_date,furniture,1932,500_to_1000,less_1,3,male,none,3,savings_insurance,39,none,own,2,skilled,1,yes,yes,No Risk,7975,Non-Metro,706
less_0,14,credits_paid_to_date,car_used,587,less_100,less_1,1,female,none,2,real_estate,30,bank,own,1,unemployed,1,none,yes,No Risk,5937,Metro,747
less_0,7,no_credits,car_used,2555,less_100,1_to_4,2,female,none,1,real_estate,19,none,own,1,skilled,1,none,yes,No Risk,4686,Non-Metro,831
no_checking,28,outstanding_credit,radio_tv,7559,greater_1000,greater_7,4,male,co-applicant,3,unknown,63,none,free,2,skilled,1,yes,yes,Risk,4725,Non-Metro,742
0_to_200,6,credits_paid_to_date,car_new,1821,500_to_1000,unemployed,2,male,none,3,savings_insurance,19,none,rent,1,skilled,1,none,yes,No Risk,4459,Metro,701
0_to_200,14,prior_payments_delayed,car_new,2103,less_100,4_to_7,4,female,none,2,savings_insurance,36,stores,free,1,unskilled,1,none,yes,No Risk,7297,Non-Metro,886
no_checking,8,prior_payments_delayed,furniture,7377,100_to_500,1_to_4,4,male,none,5,unknown,54,none,own,1,management_self-employed,1,yes,yes,No Risk,6158,Metro,731
no_checking,37,prior_payments_delayed,furniture,6776,500_to_1000,4_to_7,3,male,co-applicant,3,car_other,42,stores,own,2,skilled,1,yes,yes,Risk,4369,Non-Metro,700
0_to_200,4,no_credits,car_new,467,less_100,less_1,2,male,none,2,savings_insurance,19,none,rent,1,skilled,1,none,yes,No Risk,3566,Metro,833
no_checking,27,prior_payments_delayed,radio_tv,4401,100_to_500,4_to_7,4,female,none,4,savings_insurance,47,none,own,1,skilled,1,none,yes,No Risk,5508,Metro,840
no_checking,25,prior_payments_delayed,furniture,1577,unknown,greater_7,4,male,none,3,car_other,31,none,own,2,skilled,2,none,yes,No Risk,7244,Non-Metro,847
no_checking,39,prior_payments_delayed,other,8066,unknown,1_to_4,4,male,co-applicant,5,unknown,48,none,own,2,skilled,1,yes,yes,Risk,3553,Non-Metro,854
less_0,7,all_credits_paid_back,car_new,3618,less_100,unemployed,1,female,none,1,car_other,25,none,rent,1,skilled,1,none,yes,No Risk,4746,Metro,821
no_checking,26,credits_paid_to_date,car_used,3655,100_to_500,4_to_7,3,female,none,4,car_other,51,bank,own,1,unemployed,2,yes,yes,No Risk,5854,Non-Metro,887
less_0,5,all_credits_paid_back,car_used,250,less_100,1_to_4,1,female,none,2,real_estate,19,none,own,1,skilled,1,none,yes,No Risk,7777,Non-Metro,812
0_to_200,28,credits_paid_to_date,furniture,2308,less_100,less_1,3,male,co-applicant,3,savings_insurance,32,none,own,1,skilled,1,none,yes,No Risk,7933,Metro,844
no_checking,28,prior_payments_delayed,appliances,7749,unknown,1_to_4,4,male,none,4,unknown,36,none,own,2,management_self-employed,2,none,yes,No Risk,6779,Metro,849
no_checking,27,prior_payments_delayed,car_used,4793,500_to_1000,greater_7,4,male,none,4,car_other,48,none,own,3,skilled,2,yes,yes,Risk,4576,Metro,743
no_checking,25,outstanding_credit,appliances,5244,500_to_1000,4_to_7,3,male,none,4,car_other,38,bank,own,1,unskilled,1,none,yes,No Risk,5398,Metro,700
0_to_200,27,credits_paid_to_date,education,5660,500_to_1000,1_to_4,4,male,none,3,savings_insurance,28,none,own,2,skilled,2,yes,yes,No Risk,4854,Non-Metro,708
no_checking,20,outstanding_credit,radio_tv,3847,500_to_1000,4_to_7,4,male,none,5,car_other,34,stores,free,1,unskilled,1,yes,yes,No Risk,3682,Metro,822
no_checking,48,outstanding_credit,education,6541,greater_1000,greater_7,5,male,co-applicant,5,unknown,57,none,own,2,skilled,2,yes,yes,Risk,6397,Metro,745
no_checking,30,prior_payments_delayed,car_used,6070,unknown,greater_7,4,male,none,3,car_other,44,none,own,2,skilled,2,yes,yes,Risk,5024,Non-Metro,821
0_to_200,45,prior_payments_delayed,vacation,5914,unknown,greater_7,4,male,none,3,unknown,43,none,own,2,skilled,2,yes,yes,Risk,4560,Non-Metro,743
less_0,4,no_credits,car_new,2764,less_100,1_to_4,2,female,none,3,real_estate,19,none,own,1,skilled,1,none,yes,No Risk,6971,Metro,808
0_to_200,18,prior_payments_delayed,repairs,3368,100_to_500,1_to_4,3,female,none,3,unknown,39,none,rent,1,skilled,1,none,yes,No Risk,4983,Metro,862
0_to_200,23,credits_paid_to_date,retraining,1694,less_100,1_to_4,2,female,none,2,savings_insurance,25,none,own,1,skilled,1,yes,yes,No Risk,3973,Non-Metro,853
no_checking,41,prior_payments_delayed,furniture,7326,500_to_1000,greater_7,4,female,co-applicant,4,unknown,61,none,free,2,skilled,1,yes,yes,Risk,4371,Non-Metro,830
no_checking,27,prior_payments_delayed,radio_tv,3460,unknown,greater_7,4,male,none,4,unknown,47,none,own,2,skilled,1,yes,yes,Risk,4956,Non-Metro,749
no_checking,41,prior_payments_delayed,furniture,8555,500_to_1000,greater_7,5,male,co-applicant,5,unknown,51,none,own,2,skilled,2,yes,yes,Risk,3330,Metro,821
greater_200,16,outstanding_credit,car_used,2037,500_to_1000,1_to_4,3,male,none,4,car_other,33,stores,own,1,unskilled,1,none,yes,No Risk,3757,Metro,714
no_checking,26,prior_payments_delayed,radio_tv,6808,greater_1000,less_1,3,male,none,3,savings_insurance,35,none,own,1,management_self-employed,1,none,yes,No Risk,6326,Non-Metro,863
no_checking,10,credits_paid_to_date,furniture,4093,100_to_500,1_to_4,2,male,none,3,savings_insurance,27,none,own,1,management_self-employed,2,none,yes,No Risk,4030,Metro,882
greater_200,26,credits_paid_to_date,car_used,4173,100_to_500,1_to_4,2,female,none,3,car_other,41,stores,own,1,skilled,1,yes,yes,No Risk,7242,Metro,810
0_to_200,4,all_credits_paid_back,car_new,2740,less_100,unemployed,1,female,none,3,savings_insurance,19,none,rent,1,skilled,1,none,yes,No Risk,7276,Metro,736
0_to_200,18,credits_paid_to_date,car_new,1198,500_to_1000,1_to_4,1,male,none,2,savings_insurance,27,bank,rent,1,unemployed,1,none,yes,No Risk,6074,Metro,749
less_0,4,all_credits_paid_back,furniture,1097,less_100,less_1,2,female,none,2,savings_insurance,19,none,rent,1,management_self-employed,1,none,yes,No Risk,5368,Non-Metro,859
less_0,24,prior_payments_delayed,furniture,4617,500_to_1000,4_to_7,4,male,co-applicant,2,car_other,43,stores,own,1,skilled,1,yes,yes,No Risk,6989,Metro,839
no_checking,24,prior_payments_delayed,car_used,7526,100_to_500,4_to_7,3,male,none,3,savings_insurance,44,stores,own,1,unskilled,1,none,yes,No Risk,7276,Metro,863
0_to_200,22,all_credits_paid_back,furniture,2166,500_to_1000,1_to_4,2,male,none,2,real_estate,30,none,own,2,skilled,2,yes,yes,No Risk,6356,Non-Metro,809
0_to_200,24,credits_paid_to_date,retraining,2207,less_100,4_to_7,3,male,none,3,savings_insurance,29,none,rent,1,skilled,1,none,yes,No Risk,6634,Metro,855
less_0,26,credits_paid_to_date,education,1319,500_to_1000,4_to_7,3,female,none,2,savings_insurance,48,stores,own,2,skilled,1,yes,yes,No Risk,6929,Metro,711
less_0,4,all_credits_paid_back,car_used,250,less_100,unemployed,1,male,none,1,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk,7478,Metro,856
0_to_200,21,credits_paid_to_date,retraining,3298,500_to_1000,less_1,2,male,none,2,real_estate,31,none,own,1,skilled,2,yes,yes,No Risk,4457,Non-Metro,818
0_to_200,4,prior_payments_delayed,car_used,1697,100_to_500,1_to_4,2,female,none,1,car_other,39,none,own,2,skilled,1,none,yes,No Risk,7801,Non-Metro,879
no_checking,32,prior_payments_delayed,appliances,6904,100_to_500,greater_7,4,male,none,4,car_other,58,none,own,2,skilled,1,none,yes,Risk,5054,Non-Metro,714
less_0,12,prior_payments_delayed,car_used,2888,less_100,less_1,2,male,none,2,savings_insurance,27,stores,own,2,unskilled,1,none,yes,No Risk,4502,Non-Metro,705
less_0,14,prior_payments_delayed,furniture,1388,less_100,1_to_4,3,male,none,2,real_estate,30,none,own,1,management_self-employed,1,none,yes,No Risk,5163,Non-Metro,827
0_to_200,29,prior_payments_delayed,radio_tv,2680,greater_1000,less_1,3,male,none,2,car_other,19,none,own,1,skilled,1,none,yes,No Risk,7054,Metro,702
less_0,10,all_credits_paid_back,vacation,630,less_100,less_1,2,female,none,2,savings_insurance,33,bank,rent,1,unskilled,1,none,yes,No Risk,5609,Metro,726
less_0,13,credits_paid_to_date,furniture,250,500_to_1000,4_to_7,3,male,none,1,savings_insurance,31,stores,own,1,unskilled,1,none,yes,No Risk,7714,Non-Metro,702
0_to_200,17,all_credits_paid_back,car_used,3345,less_100,4_to_7,3,male,none,3,real_estate,48,none,own,1,management_self-employed,1,none,yes,No Risk,3549,Non-Metro,748
0_to_200,4,prior_payments_delayed,appliances,4693,500_to_1000,4_to_7,2,male,none,1,car_other,36,stores,own,2,skilled,1,yes,yes,No Risk,7874,Non-Metro,804
less_0,28,outstanding_credit,car_used,4847,100_to_500,1_to_4,3,male,none,3,unknown,33,none,own,1,skilled,1,yes,yes,No Risk,5967,Non-Metro,744
no_checking,12,outstanding_credit,retraining,2773,500_to_1000,4_to_7,4,male,none,4,car_other,52,none,free,2,management_self-employed,1,yes,yes,No Risk,7326,Non-Metro,855
less_0,16,all_credits_paid_back,furniture,3734,less_100,less_1,3,female,none,3,savings_insurance,24,none,rent,1,skilled,1,none,yes,No Risk,5458,Metro,843
no_checking,27,prior_payments_delayed,car_used,6837,100_to_500,4_to_7,4,male,none,4,savings_insurance,36,none,own,1,management_self-employed,1,yes,yes,No Risk,6371,Metro,736
less_0,12,all_credits_paid_back,car_new,930,less_100,less_1,2,female,none,3,savings_insurance,22,none,own,1,skilled,1,none,yes,No Risk,6622,Metro,862
0_to_200,13,prior_payments_delayed,appliances,2975,less_100,4_to_7,3,female,none,3,savings_insurance,31,none,own,2,skilled,1,none,yes,No Risk,4446,Metro,890
0_to_200,14,credits_paid_to_date,car_new,1110,100_to_500,4_to_7,3,female,none,3,savings_insurance,37,none,own,2,skilled,1,yes,yes,No Risk,7522,Metro,838
0_to_200,11,credits_paid_to_date,vacation,250,less_100,less_1,3,female,none,3,real_estate,24,none,own,1,skilled,1,none,yes,No Risk,6673,Metro,855
0_to_200,18,credits_paid_to_date,furniture,2748,100_to_500,unemployed,3,female,none,1,savings_insurance,28,bank,rent,2,unemployed,1,none,yes,No Risk,5689,Non-Metro,855
no_checking,24,prior_payments_delayed,furniture,4852,greater_1000,greater_7,4,male,none,4,car_other,56,stores,own,2,unskilled,1,none,yes,Risk,4275,Metro,718
no_checking,32,outstanding_credit,appliances,7500,500_to_1000,4_to_7,4,male,none,3,car_other,44,none,free,2,skilled,2,yes,yes,Risk,7869,Metro,890
no_checking,34,outstanding_credit,repairs,6583,500_to_1000,4_to_7,5,male,none,5,savings_insurance,57,none,free,2,management_self-employed,1,yes,yes,Risk,3941,Metro,869
0_to_200,14,prior_payments_delayed,car_new,5459,less_100,4_to_7,3,male,none,2,unknown,38,none,own,2,skilled,2,yes,yes,No Risk,5968,Non-Metro,743
0_to_200,23,all_credits_paid_back,car_new,2339,less_100,1_to_4,2,female,none,3,real_estate,19,none,own,1,skilled,1,none,yes,No Risk,4825,Metro,735
0_to_200,30,outstanding_credit,vacation,5874,100_to_500,greater_7,4,male,none,2,unknown,41,bank,own,2,unemployed,1,yes,yes,No Risk,4171,Metro,884
less_0,18,credits_paid_to_date,car_used,2795,less_100,1_to_4,3,male,none,2,car_other,19,bank,rent,1,unskilled,1,none,yes,No Risk,4983,Non-Metro,856
less_0,8,prior_payments_delayed,furniture,4477,500_to_1000,1_to_4,2,male,none,3,savings_insurance,30,none,own,2,skilled,1,none,yes,No Risk,5974,Non-Metro,711
less_0,4,all_credits_paid_back,car_used,250,less_100,unemployed,1,female,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk,3282,Non-Metro,819
less_0,14,credits_paid_to_date,furniture,1217,500_to_1000,4_to_7,2,female,none,2,savings_insurance,32,stores,own,1,skilled,1,none,yes,No Risk,4667,Metro,810
no_checking,35,prior_payments_delayed,furniture,2930,greater_1000,greater_7,4,male,none,3,savings_insurance,35,none,own,2,skilled,1,none,yes,No Risk,3583,Metro,860
0_to_200,29,credits_paid_to_date,radio_tv,3010,500_to_1000,greater_7,3,male,none,4,car_other,40,none,own,2,skilled,1,none,yes,No Risk,7962,Non-Metro,828
0_to_200,25,credits_paid_to_date,radio_tv,3899,less_100,less_1,3,male,none,3,savings_insurance,19,none,own,1,skilled,1,none,yes,No Risk,6897,Metro,837
less_0,11,all_credits_paid_back,car_new,474,less_100,less_1,2,female,none,3,savings_insurance,30,stores,rent,1,unskilled,1,yes,yes,No Risk,3940,Non-Metro,891
no_checking,36,outstanding_credit,appliances,5805,unknown,greater_7,4,male,co-applicant,5,unknown,57,bank,own,2,unemployed,2,yes,yes,Risk,4901,Non-Metro,708
less_0,9,prior_payments_delayed,car_used,3691,less_100,4_to_7,2,male,none,2,savings_insurance,32,none,free,1,skilled,1,yes,yes,No Risk,7244,Non-Metro,719
less_0,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,none,2,real_estate,33,none,rent,1,skilled,1,none,yes,No Risk,3870,Non-Metro,802
less_0,25,credits_paid_to_date,furniture,1639,500_to_1000,less_1,2,female,none,2,savings_insurance,25,stores,rent,1,skilled,2,yes,yes,No Risk,5184,Non-Metro,744
0_to_200,12,prior_payments_delayed,car_new,3892,less_100,4_to_7,2,male,none,3,savings_insurance,37,none,own,2,management_self-employed,1,none,no,No Risk,3902,Metro,845
less_0,30,credits_paid_to_date,radio_tv,1668,less_100,1_to_4,2,female,co-applicant,2,savings_insurance,38,stores,rent,1,unskilled,1,none,yes,No Risk,6804,Metro,816
less_0,20,prior_payments_delayed,car_used,4425,less_100,4_to_7,2,male,none,3,car_other,31,none,own,1,skilled,1,none,yes,No Risk,6610,Non-Metro,819
0_to_200,31,credits_paid_to_date,radio_tv,2990,500_to_1000,1_to_4,2,female,none,3,savings_insurance,34,stores,own,2,unskilled,1,none,yes,No Risk,3716,Metro,745
less_0,7,no_credits,car_new,250,less_100,unemployed,1,female,co-applicant,1,real_estate,20,stores,rent,1,skilled,1,none,yes,No Risk,5365,Metro,807
less_0,25,credits_paid_to_date,car_new,5344,less_100,1_to_4,3,male,none,3,car_other,28,none,rent,1,skilled,1,none,yes,No Risk,5257,Metro,805
0_to_200,4,all_credits_paid_back,car_new,1223,less_100,unemployed,1,male,none,3,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk,6949,Non-Metro,733
no_checking,39,prior_payments_delayed,repairs,8123,500_to_1000,greater_7,5,male,co-applicant,4,unknown,45,none,free,2,skilled,2,yes,yes,Risk,4713,Non-Metro,718
0_to_200,6,prior_payments_delayed,furniture,250,less_100,unemployed,1,female,none,1,savings_insurance,19,stores,rent,1,skilled,1,yes,yes,No Risk,6454,Metro,700
greater_200,19,outstanding_credit,car_used,5264,unknown,greater_7,4,female,none,3,savings_insurance,47,none,own,2,skilled,1,none,yes,No Risk,6355,Non-Metro,728
less_0,5,all_credits_paid_back,car_new,250,less_100,1_to_4,1,female,none,1,savings_insurance,24,stores,own,1,skilled,1,none,yes,No Risk,6661,Non-Metro,831
0_to_200,14,prior_payments_delayed,furniture,4709,less_100,4_to_7,4,male,co-applicant,3,savings_insurance,38,none,own,1,management_self-employed,1,none,yes,No Risk,5207,Metro,860
less_0,14,all_credits_paid_back,appliances,250,less_100,1_to_4,2,female,none,1,savings_insurance,19,bank,rent,1,unemployed,1,none,yes,No Risk,4924,Metro,803
0_to_200,33,prior_payments_delayed,appliances,4669,100_to_500,1_to_4,4,female,none,2,car_other,34,bank,rent,2,unemployed,1,none,yes,No Risk,5390,Metro,865
less_0,16,credits_paid_to_date,furniture,250,500_to_1000,unemployed,2,female,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk,6971,Non-Metro,721
greater_200,24,credits_paid_to_date,repairs,4119,less_100,less_1,3,male,none,4,savings_insurance,38,none,own,2,management_self-employed,1,yes,yes,No Risk,6784,Metro,719
no_checking,21,credits_paid_to_date,radio_tv,4165,100_to_500,4_to_7,3,male,none,4,car_other,44,none,own,1,management_self-employed,1,none,yes,No Risk,6276,Metro,723
0_to_200,28,all_credits_paid_back,furniture,2292,100_to_500,1_to_4,2,male,none,2,car_other,30,none,own,1,skilled,1,none,yes,No Risk,4773,Metro,882
0_to_200,16,credits_paid_to_date,vacation,250,less_100,less_1,2,female,none,3,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk,4279,Metro,821
less_0,11,prior_payments_delayed,appliances,1457,less_100,less_1,3,male,none,2,savings_insurance,33,none,rent,2,skilled,1,yes,yes,No Risk,7768,Non-Metro,843
less_0,14,all_credits_paid_back,furniture,3890,less_100,4_to_7,2,male,none,1,car_other,38,none,own,1,skilled,1,none,yes,No Risk,4976,Metro,726
no_checking,32,prior_payments_delayed,radio_tv,8286,100_to_500,4_to_7,4,male,none,3,savings_insurance,38,none,own,2,skilled,1,none,yes,No Risk,4035,Metro,737
no_checking,25,prior_payments_delayed,furniture,3459,500_to_1000,1_to_4,4,male,none,3,car_other,51,none,own,2,skilled,1,none,yes,No Risk,7032,Metro,873
no_checking,33,outstanding_credit,other,8069,500_to_1000,4_to_7,4,male,none,3,unknown,49,none,free,2,skilled,1,yes,yes,Risk,4936,Non-Metro,812
0_to_200,7,credits_paid_to_date,car_used,2364,500_to_1000,4_to_7,3,female,none,3,car_other,40,none,own,1,skilled,1,none,yes,No Risk,7968,Non-Metro,731
0_to_200,25,credits_paid_to_date,retraining,3875,500_to_1000,1_to_4,4,female,none,3,savings_insurance,33,bank,rent,1,unskilled,2,yes,yes,No Risk,3476,Non-Metro,810
0_to_200,10,credits_paid_to_date,car_new,250,less_100,1_to_4,2,male,none,2,real_estate,36,bank,rent,1,unemployed,1,none,yes,No Risk,4400,Metro,712
no_checking,34,prior_payments_delayed,appliances,6200,500_to_1000,1_to_4,4,male,co-applicant,4,car_other,49,none,free,2,management_self-employed,1,yes,yes,Risk,3055,Metro,739
no_checking,20,credits_paid_to_date,vacation,6381,less_100,4_to_7,3,female,none,4,unknown,38,none,own,1,skilled,2,none,yes,No Risk,6506,Metro,830
no_checking,27,prior_payments_delayed,car_used,5103,100_to_500,4_to_7,4,male,none,3,savings_insurance,41,stores,own,1,unskilled,1,yes,yes,No Risk,7086,Non-Metro,713
0_to_200,4,prior_payments_delayed,car_used,3334,less_100,unemployed,1,female,none,2,car_other,29,none,own,1,skilled,1,yes,yes,No Risk,6959,Metro,812
no_checking,30,prior_payments_delayed,radio_tv,7075,unknown,greater_7,4,male,co-applicant,5,car_other,46,none,free,3,skilled,2,yes,yes,Risk,3575,Metro,733
less_0,4,credits_paid_to_date,car_new,250,less_100,1_to_4,1,male,none,2,savings_insurance,19,none,own,1,skilled,1,yes,yes,No Risk,7864,Metro,838
no_checking,33,outstanding_credit,radio_tv,6098,500_to_1000,greater_7,5,male,co-applicant,4,unknown,50,none,free,2,skilled,1,yes,yes,Risk,3786,Non-Metro,741
0_to_200,4,prior_payments_delayed,car_new,2493,less_100,less_1,3,male,none,3,savings_insurance,23,none,own,1,management_self-employed,1,none,yes,No Risk,6192,Metro,875
less_0,9,prior_payments_delayed,vacation,4540,less_100,4_to_7,2,male,none,3,car_other,40,none,rent,1,skilled,1,none,yes,No Risk,7258,Non-Metro,865
no_checking,12,credits_paid_to_date,radio_tv,1769,less_100,1_to_4,3,female,none,4,car_other,34,none,rent,1,skilled,1,none,yes,No Risk,7515,Metro,722
less_0,24,credits_paid_to_date,radio_tv,1742,500_to_1000,less_1,3,male,none,2,savings_insurance,26,none,own,2,skilled,1,yes,yes,No Risk,7093,Metro,880
less_0,12,all_credits_paid_back,appliances,1312,less_100,less_1,2,female,none,2,real_estate,19,none,rent,2,skilled,1,none,yes,No Risk,5029,Metro,837
no_checking,31,outstanding_credit,appliances,7872,500_to_1000,greater_7,5,male,co-applicant,5,unknown,53,none,own,2,skilled,2,yes,yes,Risk,3729,Metro,745
no_checking,20,outstanding_credit,business,4856,unknown,4_to_7,3,male,guarantor,5,car_other,53,stores,own,2,skilled,1,yes,yes,Risk,3400,Metro,721
less_0,18,credits_paid_to_date,car_new,1663,100_to_500,less_1,2,male,none,3,savings_insurance,23,bank,rent,1,unemployed,2,none,yes,No Risk,5694,Non-Metro,718
0_to_200,29,all_credits_paid_back,furniture,1683,less_100,less_1,3,female,none,1,savings_insurance,26,none,own,1,skilled,1,none,yes,No Risk,4024,Non-Metro,745
no_checking,31,prior_payments_delayed,radio_tv,4722,100_to_500,greater_7,5,male,guarantor,5,unknown,61,none,free,2,skilled,1,yes,yes,Risk,4154,Metro,707
no_checking,25,prior_payments_delayed,car_used,3386,500_to_1000,4_to_7,3,female,none,3,savings_insurance,37,none,own,1,skilled,1,yes,yes,No Risk,5125,Metro,748
0_to_200,15,credits_paid_to_date,furniture,1328,less_100,less_1,2,female,none,2,savings_insurance,24,none,own,1,skilled,1,none,yes,No Risk,4009,Non-Metro,704
greater_200,20,all_credits_paid_back,car_new,3210,less_100,1_to_4,3,male,co-applicant,3,savings_insurance,49,bank,own,2,unskilled,1,yes,yes,No Risk,3636,Non-Metro,847
no_checking,25,prior_payments_delayed,furniture,4504,100_to_500,4_to_7,3,female,none,3,savings_insurance,49,none,own,1,skilled,1,none,yes,No Risk,5371,Non-Metro,708
0_to_200,22,all_credits_paid_back,car_new,250,500_to_1000,4_to_7,3,female,none,1,real_estate,27,stores,rent,1,skilled,2,none,yes,No Risk,7973,Metro,856
no_checking,37,prior_payments_delayed,appliances,6014,500_to_1000,4_to_7,4,male,guarantor,4,car_other,53,stores,free,2,unskilled,1,yes,yes,Risk,4380,Metro,735
0_to_200,21,credits_paid_to_date,furniture,250,100_to_500,unemployed,2,female,none,3,real_estate,28,none,rent,1,skilled,1,none,yes,No Risk,7909,Non-Metro,865
no_checking,39,prior_payments_delayed,repairs,5234,500_to_1000,4_to_7,3,male,none,4,savings_insurance,49,none,own,2,skilled,1,none,yes,Risk,4294,Metro,730
no_checking,23,prior_payments_delayed,retraining,3963,100_to_500,1_to_4,3,male,none,3,car_other,31,none,own,2,management_self-employed,1,none,yes,No Risk,7401,Non-Metro,855
0_to_200,23,credits_paid_to_date,repairs,5823,less_100,4_to_7,3,male,none,2,car_other,30,none,free,2,skilled,1,none,yes,No Risk,6516,Non-Metro,825
no_checking,11,prior_payments_delayed,furniture,1359,100_to_500,4_to_7,4,female,none,4,savings_insurance,59,none,own,1,skilled,1,none,yes,No Risk,7806,Metro,715
0_to_200,23,credits_paid_to_date,retraining,6517,less_100,1_to_4,3,male,none,3,unknown,47,none,own,2,skilled,1,none,yes,No Risk,5578,Non-Metro,876
0_to_200,4,all_credits_paid_back,car_new,1728,100_to_500,less_1,2,female,none,3,car_other,33,none,own,1,management_self-employed,1,none,yes,No Risk,3257,Metro,742
no_checking,47,outstanding_credit,other,8170,greater_1000,greater_7,5,male,co-applicant,3,car_other,43,none,free,2,skilled,1,yes,yes,Risk,4653,Metro,866
0_to_200,25,credits_paid_to_date,furniture,1335,less_100,1_to_4,2,male,none,2,savings_insurance,19,none,own,1,skilled,1,none,yes,No Risk,6362,Metro,889
0_to_200,18,credits_paid_to_date,car_new,1779,less_100,less_1,3,female,none,2,car_other,36,bank,rent,1,unemployed,1,none,yes,No Risk,7083,Non-Metro,728
no_checking,33,prior_payments_delayed,furniture,6139,500_to_1000,4_to_7,5,male,none,4,car_other,46,none,free,2,management_self-employed,1,yes,yes,Risk,3759,Non-Metro,724
less_0,17,credits_paid_to_date,vacation,1655,500_to_1000,1_to_4,2,female,co-applicant,2,car_other,37,bank,own,1,unemployed,1,yes,yes,No Risk,7785,Metro,724
less_0,10,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,co-applicant,2,real_estate,47,stores,own,1,skilled,1,none,yes,No Risk,5428,Metro,704
0_to_200,18,credits_paid_to_date,furniture,1721,less_100,4_to_7,3,male,none,3,savings_insurance,41,none,free,1,skilled,1,yes,yes,No Risk,5122,Metro,746
no_checking,30,outstanding_credit,repairs,2712,greater_1000,greater_7,4,male,none,4,car_other,42,none,own,1,skilled,1,yes,yes,Risk,4813,Non-Metro,869
no_checking,24,prior_payments_delayed,furniture,4245,greater_1000,1_to_4,4,female,none,3,real_estate,37,none,own,1,skilled,1,yes,yes,No Risk,7550,Metro,743
greater_200,22,prior_payments_delayed,furniture,1205,100_to_500,1_to_4,3,male,none,3,savings_insurance,33,none,rent,1,skilled,2,none,yes,No Risk,4534,Non-Metro,848
no_checking,33,outstanding_credit,appliances,6071,unknown,greater_7,4,male,co-applicant,3,car_other,63,bank,own,3,unemployed,2,yes,yes,Risk,6446,Metro,706
less_0,9,all_credits_paid_back,car_new,250,less_100,1_to_4,3,female,none,2,real_estate,27,none,rent,1,skilled,1,none,yes,No Risk,3803,Non-Metro,847
no_checking,27,outstanding_credit,appliances,7131,500_to_1000,4_to_7,5,male,none,4,unknown,51,none,free,2,skilled,2,yes,yes,Risk,3414,Non-Metro,709
no_checking,20,credits_paid_to_date,radio_tv,999,100_to_500,1_to_4,3,female,none,2,real_estate,33,none,own,1,skilled,1,none,yes,No Risk,5559,Non-Metro,727
no_checking,26,outstanding_credit,radio_tv,5163,500_to_1000,4_to_7,3,female,none,4,unknown,51,none,own,3,skilled,1,yes,yes,Risk,4365,Non-Metro,825
0_to_200,11,prior_payments_delayed,retraining,1456,less_100,4_to_7,3,female,none,2,real_estate,31,bank,own,1,unskilled,1,none,yes,No Risk,5895,Metro,724
0_to_200,28,credits_paid_to_date,car_used,4075,less_100,1_to_4,3,male,none,2,savings_insurance,44,stores,own,1,skilled,1,none,yes,No Risk,5120,Non-Metro,727
less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,2,real_estate,30,stores,rent,1,skilled,1,none,yes,No Risk,7055,Metro,720
no_checking,30,prior_payments_delayed,car_used,5571,greater_1000,4_to_7,4,male,none,3,car_other,45,none,own,2,skilled,1,yes,yes,Risk,4336,Non-Metro,826
no_checking,22,prior_payments_delayed,radio_tv,4400,unknown,1_to_4,4,male,none,4,car_other,30,none,own,1,skilled,1,none,yes,No Risk,7976,Non-Metro,827
